ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,Kingdom,Phylum,Class,Order,Family,Genus,Hv_WT_HvSC_only_rhizo_1,Hv_WT_HvSC_only_rhizo_2,Hv_WT_HvSC_only_rhizo_3,Hv_WT_HvSC_only_rhizo_4,Hv_WT_HvSC_only_rhizo_5,Hv_WT_HvSC_only_rhizo_6,Hv_symrk_HvSC_only_rhizo_1,Hv_symrk_HvSC_only_rhizo_2,Hv_symrk_HvSC_only_rhizo_3,Hv_symrk_HvSC_only_rhizo_4,Hv_symrk_HvSC_only_rhizo_5,Hv_symrk_HvSC_only_rhizo_6,Hv_ccamk_HvSC_only_rhizo_1,Hv_ccamk_HvSC_only_rhizo_2,Hv_ccamk_HvSC_only_rhizo_3,Hv_ccamk_HvSC_only_rhizo_4,Hv_ccamk_HvSC_only_rhizo_5,Hv_ccamk_HvSC_only_rhizo_6,Hv_nsp1_HvSC_only_rhizo_1,Hv_nsp1_HvSC_only_rhizo_2,Hv_nsp1_HvSC_only_rhizo_3,Hv_nsp1_HvSC_only_rhizo_4,Hv_nsp1_HvSC_only_rhizo_5,Hv_nsp1_HvSC_only_rhizo_6,Hv_nsp2_HvSC_only_rhizo_1,Hv_nsp2_HvSC_only_rhizo_2,Hv_nsp2_HvSC_only_rhizo_3,Hv_nsp2_HvSC_only_rhizo_4,Hv_nsp2_HvSC_only_rhizo_5,Hv_nsp2_HvSC_only_rhizo_6
P1_A1,1.50396819261219,1.45039267575307,1.53456262399756,1.05540003683433,1,1,1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.182464063446605,0.20816759480244,0.0521800281293952,0.0402841387045518,0.0413272742862042,0.0198718881933324,0.197013979365471,0.226119033199361,0.186348535185744,0.165498483104927,0.146604792120466,0.169503380741432,0.179802955665025,0.115155831099196,0.234111412273959,0.183775686935356,0.140433614986572,0.203445203445203,0.203275913571642,0.311626571373875,0.154819517826222,0.152730686975119,0.134506432046924,0.191866650904362,0.126626844416314,0.174951291402308,0.171324698932061,0.0912791241695518,0.111432854125502,0.13687420388312
P1_A6,-0.688252044526503,0.340535702306436,0.315096305533296,-0.467321428236873,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,0.00280883405848984,0.00351365685494564,0.00520393811533052,0.00504720067296009,0.00488725027865901,0.00502256514776532,0.00218317546392479,0.00269779221494247,0.00197993221249035,0.00313840359870279,0.0028411781418695,0.00349731872231289,0,0.0106400804289544,0.00938549294065294,0.00645976688667322,0.00622257155957294,0.00801900801900802,0.00333565667629194,0.0044349435262587,0.00537228610753452,0.00636377862396328,0.00819836032793441,0.00567442960160776,0.00162189960045888,0.00404656042363991,0.0027266530334015,0.00397679423598765,0.00364515909245759,0.00351256417184545
P1_A8,-0.967187608460015,-0.519755746106804,-1.07375899320002,-0.915568735925231,-1,0,-1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0.0611885223329845,0.0535003977724742,0.0949367088607595,0.143938685858491,0.113950098602418,0.116028533993303,0.0394027958730941,0.0446512140064967,0.0434242759824155,0.0444607176482896,0.0599962117624775,0.0519934716717184,0.17487684729064,0.0673173592493298,0.0575670536834014,0.0457332771614474,0.0461125302940984,0.0444015444015444,0.0254406053967938,0.0365962606087678,0.0633130577631754,0.0497105002347295,0.05625541558355,0.0411396146116562,0.024486728114245,0.0550532047759405,0.062107096871923,0.0596051277252737,0.0482728077945084,0.0545026440730305
P1_A9,-0.773957262610377,-1.3169107430285,-0.802300808068441,0.192275786960173,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0,0.000662954123574649,0,0.00205626694083559,0.00120037726142502,0.000582326393943806,0.000211275044895947,0.000385398887848924,0,0.000313840359870279,0.000142058907093475,0.000746094660760084,0,0.000335120643431635,0.000445001820461993,0.000374479239807143,0,0,0.000298715523250025,0,0.000399591528659592,0,0.000799840031993601,0.000354651850100485,0.000237351161042763,0.000599490433131838,0.000605922896311444,0.000982502105361654,0.000272535259249165,0.000463195275408191
P1_B10,-0.0968121738968251,-0.0803270811491807,0.858989586917394,-0.519371716029049,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Boseaceae,Bosea,0,0.000795544948289578,0.00168776371308017,0,0.00214353082397325,0.00116465278788761,0.000528187612239868,0.000660683807741012,0.000570488942581966,0.000313840359870279,0.000757647504498532,0.00116577290743763,0,0.0019269436997319,0.000930458351875076,0.00117024762439732,0,0.00113850113850114,0.000746788808125062,0.00121243060430094,0.000887981174799094,0.00114756663710813,0.00206625341598347,0.00153682468376877,0.000712053483128288,0.000399660288754559,0,0.000701787218115467,0.000715405055529059,0.000424595669124175
P1_C1,-1.02292456167001,-0.704395059113992,-0.212377091094997,-1.08225710215536,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,0.0246186043949992,0.0254574383452665,0.0362869198312236,0.0433685391158052,0.0463002657978222,0.0484058814965788,0.0144723405753724,0.0171777790012663,0.0107050572166851,0.0169473794329951,0.0247656028032958,0.0281184425273957,0,0.0671916890080429,0.0437315425381286,0.0149791695922857,0.021353245562324,0.0233640233640234,0.0188688638852932,0.0223342479739646,0.031345735470408,0.0504407699128893,0.0489235486236086,0.0279583875162549,0.0136872502867993,0.0187840335714643,0.0177989850791487,0.0182464676710022,0.0181235947400695,0.0162118346392867
P1_C2,-0.375367746578623,-0.515193661896696,0.135733790623401,-0.734325188204574,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,0.00192763121661067,0.00178997613365155,0.00239099859353024,0.00383213384428451,0.00480150904570008,0.00276605037123308,0.00239445050882073,0.00154159555139569,0.00221483942414175,0.00109844125954598,0.00269911923477602,0.00363721147120541,0,0.00259718498659517,0.00178000728184797,0.00224687543884286,0.00255452937708784,0.00336600336600337,0.00174250721895848,0.00347776147023164,0.00315233317053678,0.00302540295237598,0.00653202692794774,0.00195058517555267,0.00158234107361842,0.00229804666033871,0.00204498977505112,0.00154393187985403,0.00139674320365197,0.00123518740108851
P1_C9,,,,,,,,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Chitinimonas,0,0,0,0,0,0,0,0,0.000201349038558341,0,0,0,0.0640394088669951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_D2,,Inf,,,,1,,,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125670241286863,0.00210364496945669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_D3,0.213982051869442,-0.930827343256153,1.38605991165848,0.664752241026477,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,0.0101889078592278,0.00523733757623973,0.0123769338959212,0.0173848023179736,0.0200634485123896,0.00174697918183142,0.0240149301031726,0.00980014314815834,0.00758414711903084,0.0152735641803536,0.00653470972629984,0.00550244812310562,0,0.00439845844504022,0.00659411788502771,0.0059448579319384,0.00275103163686382,0.0201465201465201,0.0457034750572538,0.043679407823368,0.0144740931492252,0.0102237754942361,0.0262614143837899,0.0164913110296725,0.0172079591756003,0.0351701054104012,0.0125729000984625,0.0158603911294096,0.00463309940723581,0.0114254834600687
