ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,Kingdom,Phylum,Class,Order,Family,Genus,Hv_WT_HvSC_only_rhizo_1,Hv_WT_HvSC_only_rhizo_2,Hv_WT_HvSC_only_rhizo_3,Hv_WT_HvSC_only_rhizo_4,Hv_WT_HvSC_only_rhizo_5,Hv_WT_HvSC_only_rhizo_6,Hv_symrk_HvSC_only_rhizo_1,Hv_symrk_HvSC_only_rhizo_2,Hv_symrk_HvSC_only_rhizo_3,Hv_symrk_HvSC_only_rhizo_4,Hv_symrk_HvSC_only_rhizo_5,Hv_symrk_HvSC_only_rhizo_6,Hv_ccamk_HvSC_only_rhizo_1,Hv_ccamk_HvSC_only_rhizo_2,Hv_ccamk_HvSC_only_rhizo_3,Hv_ccamk_HvSC_only_rhizo_4,Hv_ccamk_HvSC_only_rhizo_5,Hv_ccamk_HvSC_only_rhizo_6,Hv_nsp1_HvSC_only_rhizo_1,Hv_nsp1_HvSC_only_rhizo_2,Hv_nsp1_HvSC_only_rhizo_3,Hv_nsp1_HvSC_only_rhizo_4,Hv_nsp1_HvSC_only_rhizo_5,Hv_nsp1_HvSC_only_rhizo_6,Hv_nsp2_HvSC_only_rhizo_1,Hv_nsp2_HvSC_only_rhizo_2,Hv_nsp2_HvSC_only_rhizo_3,Hv_nsp2_HvSC_only_rhizo_4,Hv_nsp2_HvSC_only_rhizo_5,Hv_nsp2_HvSC_only_rhizo_6
P1_A1,1.49836513012017,1.45587397171771,1.5332088259667,1.05684205039113,1,1,1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.177209751906347,0.200845124527819,0.0516021639617145,0.0396103299329106,0.0405928920330133,0.0191221208170361,0.193229706390328,0.21976099477849,0.179420889348501,0.160687935684119,0.143062444949237,0.164005608575693,0.188144329896907,0.112995513110773,0.227890618825575,0.175710826083057,0.135242540844004,0.194795961893929,0.199403889377504,0.305910743387238,0.151066042641706,0.148827053925053,0.129892416342156,0.185767528534824,0.124995118903511,0.170125893160939,0.165456545654565,0.0890591112546721,0.109726607106872,0.133130539281959
P1_A6,-0.626417483626467,0.391992431928657,0.382466825354936,-0.302722957184474,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,0.002040597143164,0.00339330302836289,0.00513247329726731,0.00496277915632754,0.00471618662624221,0.00499782703172534,0.00210708117443869,0.00261075523496797,0.00193898655635988,0.00305296901236452,0.00278151221547448,0.003392283685377,0,0.0102910303379574,0.00916778629574014,0.00609920172212754,0.00599255661389012,0.00767808900895777,0.00327372227108375,0.00429359408298859,0.00520020800832033,0.00619478013608206,0.00811827602138473,0.00553226182157,0.00160099964856105,0.00393719924172459,0.00388705537220389,0.00392229246458401,0.00359373950426547,0.00341745531019979
P1_A8,-0.977214474901374,-0.52026515767475,-1.07290054434583,-0.919318034081184,0,0,-1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0.0596606164751369,0.0516678404507331,0.0933555278124567,0.141439205955335,0.111335691426646,0.115457047660437,0.0385492227979275,0.0436561339290521,0.0417851602895553,0.043199511524958,0.0587362662834361,0.050386720340133,0.182989690721649,0.0660684147696867,0.0563897889828499,0.0437707417705624,0.044407998486091,0.0422768851604342,0.0250171015342519,0.0359470979064811,0.06179580516554,0.0482888189296232,0.0555738895122434,0.040356394129979,0.0241711898160803,0.0534681378505809,0.0598459845984598,0.0587420977342993,0.0475582723181299,0.0529142256271594
P1_A9,-0.797847638770598,-1.32502080045229,-0.400979385573569,0.189669197923555,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0,0.000640245854408093,0,0.00202187298961493,0.00117904665656055,0.000579458206576851,0.000207253886010363,0.000349895031490553,0,0.000305296901236452,0.000139075610773724,0.000723687186213759,0,0.000329312970814638,0.000434679522642852,0.000358776571889856,0,0,0.000293169158604515,0.00043876143913752,0.000390015600624025,0,0.000660022440762986,0.000349406009783368,0.000234292631496739,0.000583288776551791,0.000586725339200587,0.000969036961838401,0.000268690804057231,0.000450653447498873
P1_B10,-0.11128725781064,-0.0052888912441112,0.855713811144162,-0.508720120074263,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Boseaceae,Bosea,0,0.000768295025289711,0.00166458593424886,0,0.00202122283981809,0.0011589164131537,0.000483592400690846,0.000645960058136405,0.000549379524301965,0.000305296901236452,0.000741736590793195,0.001130761228459,0,0.0026345037665171,0.000908875365525962,0.0011211767871558,0,0.00109009905682734,0.000684061370077201,0.00119092390623041,0.000866701334720056,0.00111709149994922,0.00204606956636526,0.00151409270906126,0.000702877894490218,0.000388859184367861,0,0.000692169258456001,0.000705313360650232,0.000413098993540634
P1_C1,-1.03764636238133,-0.725869459928894,-0.224696019439773,-1.10448151398443,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,0.0240038663945871,0.0245854408092708,0.0357885975863504,0.042643139417333,0.0452248610409298,0.0479501665942344,0.0141623488773748,0.0167411315067018,0.0102766287487073,0.0162316185824047,0.024199156274628,0.027273960830431,0,0.0660272506483349,0.04267762585948,0.014306215804108,0.0205639311171387,0.0223707284705436,0.0184207954656503,0.0215619907233296,0.0300312012480499,0.0488473646795979,0.0476536202230876,0.0275448404379222,0.0135108750829786,0.0182763816652895,0.0163549688302164,0.0179502561026256,0.0173641432121986,0.0156977617545441
P1_C2,-0.367214758931608,-0.591285257080023,0.0686985351291882,-0.74640162054947,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,0.00187949736870368,0.00172866380690185,0.00221944791233181,0.00376803602610054,0.0045477513895907,0.00275242648124004,0.00234887737478411,0.00148032513322926,0.00213288521199586,0.00106853915432758,0.00264243660470076,0.00352797503279208,0,0.00255217552381344,0.00173871809057141,0.00215265943133913,0.00176622721251498,0.00322290155931561,0.00117267663441806,0.00341607120471355,0.0030767897382562,0.00294505940895704,0.00646821991947726,0.00192173305380853,0.00156195087664493,0.0022359403101152,0.00190685735240191,0.001384338516912,0.00137704037079331,0.00120174252666366
P1_C9,,,,,,,,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Chitinimonas,0,0,0,0,0,0,0,0,0.000193898655635988,0,0,0,0.0670103092783505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_D2,Inf,Inf,4.91800901409292e-16,4.91849058845065e-16,1,1,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0,0,0,0,0,0,0,0,0.00126034126163392,0,0,0.00153783527070424,0,0.00197587782488783,0.00395163202402592,0.00134541214458696,0,0.00137447272382577,0,0,0,0,0,0,0,0,0,0,0,0
P1_D3,0.190271039144911,-0.947110551460674,1.39471663591847,0.666735106624819,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,0.00988078616689937,0.00505794224982393,0.0117908170342627,0.0170940170940171,0.0197069226882264,0.00173837461973055,0.0235233160621762,0.00958174086235668,0.00730351602895553,0.0148577825268407,0.00625840248481758,0.00497534940521959,0,0.00432223274194212,0.00644116019916225,0.00542649564983407,0.00264934081877247,0.0192900137447272,0.0448548812664908,0.0429046007270904,0.0140838966892009,0.00995226972682035,0.0259388819219853,0.0162473794549266,0.0169862157835136,0.0340737860302338,0.0121012101210121,0.0156430252411056,0.00453415731846578,0.0111161183716389
